AX,AY,AZ,GX,GY,GZ,Result
7.08,13.08,5.23,2.31,0.59,2.26,1
8.62,3.87,-2.93,0.67,-1.0,0.56,1
-3.16,-6.17,-2.46,0.43,-0.27,1.52,1
7.32,-2.14,6.46,-0.48,0.82,-0.58,1
3.88,-2.45,0.57,0.71,-0.62,-1.34,1
4.48,-0.37,3.99,0.38,-0.69,-1.54,1
7.72,10.48,-0.39,-0.6,-0.1,-1.89,1
3.74,20.11,5.0,-2.63,0.11,-1.35,1
5.75,44.06,0.44,-0.33,-0.27,-1.17,1
10.81,16.43,-7.0,-3.05,0.12,-0.63,1
7.0,12.51,-1.85,-3.71,0.14,0.77,1
11.27,12.56,2.32,-2.97,0.78,0.41,1
8.42,9.57,4.04,-2.57,0.67,-0.47,1
0.0,5.65,5.04,-1.08,0.32,-0.06,1
0.23,-1.3,6.17,0.42,0.56,2.3,1
7.7,-1.99,5.56,0.31,-0.53,-0.52,1
-0.34,1.11,9.61,1.57,-0.01,-0.32,1
2.18,7.85,5.17,0.76,0.42,-0.22,1
4.66,13.16,3.23,1.95,0.23,-0.01,1
8.0,15.75,0.83,2.75,0.05,0.32,1
8.74,25.36,-4.13,2.19,1.26,0.28,1
